@RELATION tweets

@ATTRIBUTE tweet string
@ATTRIBUTE class {news,noise,relevant}

@DATA
'consumindo veneno mosquito dengue',noise
'dor corpo dor olho febre cansaço pesquisar google dengue',relevant
'passar trem fedorento perna mano funny porque vizinho picada dengue aí bom evitar ne votebiel kca',relevant
'cuidado dengue menino ir medico',relevant
'barbie assiste oitnb amo sexo lesbico ja sabia url',noise
'poder espantar mosquito dengue',relevant
'ir mandar caça zika viru caçarem tpm livrar',noise
'inglaterra sair ue ai deus amigo tá metrô preocupa dengue',noise
'retweet mosquito dengue dar digimon evoluindo',noise
'mosquito dengue',noise
'obrigado acabei chegar suspeito zika tomei bunda literalmente injeção dorei né',relevant
'talvez coma uranio morra mosquito pica dengue morra',noise
'mosquito dengue agora capaz causar morte animal doméstico pensando ir dominar mundo',noise
'sério mosquito dengue pica pessoa roupa preto fodido kjk',noise
'quero ir virada cultural paulista pego zika vírus',relevant
'tio bar tavo máscara hoje tá zika vírus',relevant
'funny parar infectar zika vírus fla scrr',relevant
'agora tô medo estar zika vírus',relevant
'veja teste rápido dengue porque exame sangue ir dizer poder ai vir teste rapido',relevant
'avô vida loka joga demônio chamar criolino casa inteira espantar mosquito dengue pense cheiro',relevant
'retweet igual mosquito dengue',noise
'amigo mosquito tão magro pensar zika',noise
'desistência jogador basquete usa causa zika desculpem muito mancado ver',noise
'verdade rapeize pessoa grávida pegar zika ir máximo febre baixa dengue mau',relevant
'engraçar zika moda momento vi ninguém desistir ver causa dengue endêmico',noise
'homem quer brincar deus mudar genética porra mosquito dengue tá aí caso triplicar',noise
'retweet merda zika deixa corpo todo inchado parecendo balão',relevant
'ir formatar cara ta cheio zika vírus',noise
'ir universidade sentindo aedesaegypti funny url',noise
'porque numeral pessoa adicionarp lista sera qu so zika viru',noise
'ontem mosquito dengue mordeu percebi começar rir desespero funny',relevant
'dever fico bostejando internet sair zika vírus',noise
'trollagem surpresa colega faltar aula porque tá suspeito dengue url',relevant
'mina zika lava pirico lava',noise
'redação grande mobilização contra mosquito dengue acontecer phb url',news
